EP, 10, 1994090412,   , XRQA,   0, 262N, 1786E,  55,    0, TS
EP, 10, 1994090418,   , XRQA,   0, 261N, 1785E,  65,    0, TY
EP, 10, 1994090500,   , XRQA,   0, 261N, 1781E,  55,    0, TS
EP, 10, 1994090506,   , XRQA,   0, 262N, 1778E,  55,    0, TS
EP, 10, 1994090512,   , XRQA,   0, 264N, 1775E,  50,    0, TS
EP, 10, 1994090518,   , XRQA,   0, 267N, 1772E,  45,    0, TS
EP, 10, 1994090600,   , XRQA,   0, 271N, 1768E,  50,    0, TS
EP, 10, 1994090606,   , XRQA,   0, 276N, 1762E,  55,    0, TS
EP, 10, 1994090612,   , XRQA,   0, 280N, 1756E,  60,    0, TS
EP, 10, 1994090618,   , XRQA,   0, 284N, 1752E,  55,    0, TS
EP, 10, 1994090700,   , XRQA,   0, 289N, 1751E,  60,    0, TS
EP, 10, 1994090706,   , XRQA,   0, 293N, 1753E,  65,    0, TY
EP, 10, 1994090712,   , XRQA,   0, 295N, 1757E,  65,    0, TY
EP, 10, 1994090718,   , XRQA,   0, 297N, 1765E,  60,    0, TS
EP, 10, 1994090800,   , XRQA,   0, 301N, 1775E,  70,    0, TY
EP, 10, 1994090806,   , XRQA,   0, 305N, 1787E,  75,    0, TY
EP, 10, 1994090812,   , XRQA,   0, 310N, 1798E,  80,    0, TY
EP, 10, 1994090815,   , XRQA,   0, 313N, 1796W, 100,    0, TY
EP, 10, 1994090818,   , XRQA,   0, 316N, 1789W,  90,    0, TY
EP, 10, 1994090900,   , XRQA,   0, 327N, 1775W,  85,    0, TY
EP, 10, 1994090906,   , XRQA,   0, 343N, 1760W,  80,    0, TY
EP, 10, 1994090912,   , XRQA,   0, 370N, 1740W,  75,    0, TY
EP, 10, 1994090918,   , XRQA,   0, 395N, 1723W,  70,    0, TY
EP, 10, 1994091000,   , XRQA,   0, 415N, 1710W,  65,    0, TY
EP, 10, 1994091006,   , XRQA,   0, 425N, 1703W,  65,    0, EX
EP, 10, 1994091012,   , XRQA,   0, 433N, 1691W,  65,    0, EX
EP, 10, 1994091018,   , XRQA,   0, 441N, 1676W,  65,    0, EX
EP, 10, 1994091100,   , XRQA,   0, 447N, 1659W,  65,    0, EX
