EP, 05, 2023081612,   , XRQA,   0, 268N, 1687E,  25,    0, SS
EP, 05, 2023081618,   , XRQA,   0, 278N, 1684E,  25,    0, SS
EP, 05, 2023081700,   , XRQA,   0, 289N, 1682E,  25,    0, SS
EP, 05, 2023081706,   , XRQA,   0, 298N, 1677E,  25,    0, SS
EP, 05, 2023081712,   , XRQA,   0, 305N, 1673E,  25,    0, TD
EP, 05, 2023081718,   , XRQA,   0, 312N, 1667E,  30,    0, TD
EP, 05, 2023081800,   , XRQA,   0, 317N, 1662E,  30,    0, TD
EP, 05, 2023081806,   , XRQA,   0, 320N, 1660E,  30,    0, TD
EP, 05, 2023081812,   , XRQA,   0, 322N, 1661E,  35,    0, TS
EP, 05, 2023081818,   , XRQA,   0, 325N, 1669E,  40,    0, TS
EP, 05, 2023081900,   , XRQA,   0, 329N, 1675E,  30,    0, TD
EP, 05, 2023081906,   , XRQA,   0, 332N, 1680E,  30,    0, TD
EP, 05, 2023081912,   , XRQA,   0, 332N, 1687E,  35,    0, TS
EP, 05, 2023081918,   , XRQA,   0, 331N, 1695E,  30,    0, TD
EP, 05, 2023082000,   , XRQA,   0, 329N, 1704E,  40,    0, TS
EP, 05, 2023082006,   , XRQA,   0, 326N, 1715E,  35,    0, TS
EP, 05, 2023082012,   , XRQA,   0, 324N, 1727E,  35,    0, TS
EP, 05, 2023082018,   , XRQA,   0, 326N, 1739E,  35,    0, TS
EP, 05, 2023082100,   , XRQA,   0, 329N, 1750E,  30,    0, TD
EP, 05, 2023082106,   , XRQA,   0, 335N, 1758E,  30,    0, TD
EP, 05, 2023082112,   , XRQA,   0, 343N, 1770E,  30,    0, TD
EP, 05, 2023082118,   , XRQA,   0, 353N, 1783E,  40,    0, TS
EP, 05, 2023082200,   , XRQA,   0, 362N, 1796E,  35,    0, TS
EP, 05, 2023082206,   , XRQA,   0, 371N, 1788W,  35,    0, SS
EP, 05, 2023082212,   , XRQA,   0, 379N, 1776W,  35,    0, SS
EP, 05, 2023082218,   , XRQA,   0, 392N, 1768W,  35,    0, EX
EP, 05, 2023082300,   , XRQA,   0, 407N, 1761W,  35,    0, EX
EP, 05, 2023082306,   , XRQA,   0, 421N, 1755W,  35,    0, EX
